X,Y,Field1,Código da,Código op,Código an,Corpo híd,Operador,Âmbito,Tipo de mo,Municipio,Estado,qualidade,Vazão,Parâmetro,Observaç�,icon_url
-43.1517345635875,-22.074723543953,,,"58611000",PC-14,,IGAM,MG,quantidade,Chiador,,,,Automática,Implantação,./0.png
-43.3563389260051,-21.9724213627442,,,"5850100",PC-13,,IGAM,MG,quantidade,Rio Paraibuna,,,,Automática,Continuação,./0.png
-43.5585641679294,-22.0842400259259,,,"58585000",PC-12,,CPRM,MG,quantidade,Manuel Duarte,,,,Automática,Implantação,./0.png
-44.086728917426,-22.1556136407228,,,"1",PPMG-01,,IGAM,MG,quantidade,Ribeirão da Jacutinga,,,,Automática,Continuação,./0.png
-43.8202674221845,-22.0866191464192,,,"2",PPMG-02,,IGAM,MG,quantidade,Rio Preto,,,,Automática,Continuação,./0.png
-43.8845036755016,-21.8629818200558,,,"3",PPMG-03,,IGAM,MG,quantidade,Rio do Peixe,,,,Automática,Implantação,./0.png
-43.1755257685198,-21.280097299215,,,"4",PPMG-04,,IGAM,MG,quantidade,Rio Pomba,,,,Automática,Continuação,./0.png
-42.9685422856089,-21.2563060942827,,,"5",PPMG-05,,IGAM,MG,quantidade,Rio Paraopeba,,,,Automática,Modernização,./0.png
-43.3254103595931,-21.7749543618063,,,"58480500",PPMG-06,,IGAM,MG,quantidade,Rio Preto,,,,Automática,Modernização,./0.png
-42.8805148273595,-21.1397291901145,,,BS071,PPMG-07,,IGAM,MG,quantidade,Rio Ubá,,,,Automática,Implantação,./0.png
-46.0289890187465,-23.1923692903348,NULL01,,,,,,,,,,,,,,./0.png
-45.5714391938933,-23.4183042107184,"1",,,,,,,,,,,,,,./0.png
-45.5092083588441,-23.4860072182255,"2",,,,,,,,,,,,,,./0.png
-45.4997063395167,-23.5222606038263,"3",,,,,,,,,,,,,,./0.png
-45.6733013435007,-23.352386184895,"4",,,,,,,,,,,,,,./0.png
-45.8773419004426,-23.3696134281563,"05",,,,,,,,,,,,,,./0.png
